origin,n,persistence_mae,contemporaneous_country_mae,mae_delta_persistence_minus_contemporaneous,persistence_rmse,contemporaneous_country_rmse,rmse_delta_persistence_minus_contemporaneous,persistence_beats_contemporaneous_mae,persistence_beats_contemporaneous_rmse,fallback_rows,comparator_information_time,comparator_leave_city_out
1985,6147,0.010018004042632075,0.01405993866825416,-0.004041934625622084,0.019817764605611306,0.02200900208242492,-0.002191237476813615,True,True,35,forecast_origin,True
1990,6744,0.01615648201517364,0.017586112532163044,-0.0014296305169894039,0.02511813064002974,0.025517740348533005,-0.00039960970850326516,True,True,34,forecast_origin,True
1995,7280,0.01239061649349426,0.018152235768474117,-0.005761619274979857,0.021723858233498004,0.026196257731923446,-0.004472399498425442,True,True,33,forecast_origin,True
2000,8051,0.015983415847825384,0.013464542884833468,0.0025188729629919155,0.027408990254879802,0.019437687471451786,0.007971302783428016,False,False,31,forecast_origin,True
2005,8822,0.009885131700936002,0.0124236466427027,-0.002538514941766698,0.018500471599097335,0.01911178821969907,-0.0006113166206017338,True,True,26,forecast_origin,True
2010,9476,0.01156872274217371,0.013365043527944123,-0.0017963207857704128,0.02155616422573475,0.020552970064701224,0.0010031941610335257,True,False,28,forecast_origin,True
2015,9990,0.013559065674829958,0.01690311844205679,-0.003344052767226831,0.023042002529720336,0.024934940083370702,-0.001892937553650366,True,True,24,forecast_origin,True
