origin,model,n,mae,rmse,median_absolute_error,bias,directional_accuracy,cross_source_last_origin,includes_2020_to_2025
1985,persistence,5553,0.0037259593673865765,0.007000969912667694,0.0017278380227065057,0.0010569928432459712,0.9322888528723212,2015,False
1990,persistence,6146,0.010473189043529533,0.015490504361358423,0.00779886865975481,-0.001145765151267527,0.8143507972665148,2015,False
1995,persistence,6698,0.0068189626005444775,0.011176658956941529,0.004364395192464876,0.005005180984723671,0.8687667960585249,2015,False
2000,persistence,7511,0.010771609585089657,0.018115224137524585,0.006763726281516823,0.004441530295779167,0.8422313939555319,2015,False
2005,persistence,8290,0.004568703810208558,0.00785609671498815,0.0030606767244583106,0.002373057806562449,0.9088057901085645,2015,False
2010,persistence,8985,0.006464780609545983,0.012835698496662797,0.0035410582351367735,0.002211551992658734,0.8763494713411241,2015,False
2015,persistence,9674,0.009309693080200515,0.015395318032840586,0.005645158629355862,0.007031957650985201,0.7640066156708704,2015,False
