origin,wup_persistence_mae,wup_persistence_rmse,ghsl_fixed_persistence_mae,ghsl_fixed_persistence_rmse,ghsl_dynamic_persistence_mae,ghsl_dynamic_persistence_rmse,includes_2020_to_2025,comparison_semantics
1985,0.010018004042632075,0.019817764605611306,0.0037259593673865765,0.007000969912667694,0.01015639003572651,0.019988495944024413,False,source_level_not_city_matched
1990,0.01615648201517364,0.02511813064002974,0.010473189043529533,0.015490504361358423,0.016345390113165287,0.026037801569379324,False,source_level_not_city_matched
1995,0.01239061649349426,0.021723858233498004,0.0068189626005444775,0.011176658956941529,0.012503507127261166,0.021545393204542074,False,source_level_not_city_matched
2000,0.015983415847825384,0.027408990254879802,0.010771609585089657,0.018115224137524585,0.01602480568265449,0.027434858629020377,False,source_level_not_city_matched
2005,0.009885131700936002,0.018500471599097335,0.004568703810208558,0.00785609671498815,0.00988019875227788,0.018535776034832547,False,source_level_not_city_matched
2010,0.01156872274217371,0.02155616422573475,0.006464780609545983,0.012835698496662797,0.011312691499610623,0.021388385219320023,False,source_level_not_city_matched
2015,0.013559065674829958,0.023042002529720336,0.009309693080200515,0.015395318032840586,0.013831174171770523,0.023557196461612685,False,source_level_not_city_matched
