period_start,matched_rows,matched_population,countries
1980,5061,1539295537.49079,167
1985,5553,1726827125.72386,172
1990,6145,1944875917.06543,174
1995,6697,2197857021.3930798,177
2000,7509,2492967316.83512,178
2005,8290,2739280810.7701,179
2010,8985,2982121157.15388,182
2015,9674,3232712470.07416,185
2020,10332,3459270281.24777,186
