origin,model,n,mae,rmse,median_absolute_error,bias,directional_accuracy
1985,country_mean,6143,0.009700635551694729,0.014711935443828813,0.00641597062399998,0.000255291890738616,0.8772586684030604
1985,country_mean_leave_city_out,6143,0.009995592878311341,0.015305777735284956,0.006551543866792306,0.00016081361224699997,0.875305225459873
1985,global_mean,6143,0.01226576588102906,0.016919889851695877,0.009498753269211034,-0.0003749606535866847,0.8837701448803517
1985,persistence,6143,0.00391938500999049,0.007532750974264157,0.001788847702275831,0.0012527266801709387,0.9381409734657333
1985,zero_growth,6143,0.017448001111684902,0.02308900009966288,0.013607456657694427,-0.015714956204216722,0.0
1990,country_mean,6692,0.013248353621465252,0.01913676399087715,0.010028229448492814,-0.0019984117338008446,0.8223251643753736
1990,country_mean_leave_city_out,6692,0.013404135917254468,0.019192921897199067,0.010170827697070301,-0.002058466289097753,0.8224745965331739
1990,global_mean,6692,0.015238731599444673,0.02046475259501966,0.012348398855846019,-0.0027755227149376125,0.8311416616855948
1990,persistence,6692,0.010637969729002956,0.015857143073522244,0.007791481450631645,-0.001112539509384271,0.8293484757919904
1990,zero_growth,6692,0.020535791417251953,0.027321223115580082,0.017126330729762707,-0.018312472801265214,0.0
1995,country_mean,7509,0.013738589325252442,0.02041180488240356,0.009043137597927148,0.0020626252017750487,0.758423225462778
1995,country_mean_leave_city_out,7509,0.013883321764612277,0.020573778275801445,0.00921429107258082,0.002035900858736189,0.7569583166866427
1995,global_mean,7509,0.016349891377151753,0.022184127677808668,0.012836927059888675,0.0010312957732649427,0.7564256225862298
1995,persistence,7509,0.007217255969240109,0.012406046022097592,0.004474601810888856,0.005445803781800017,0.8813423891330403
1995,zero_growth,7509,0.020244080742479756,0.027052031719858247,0.016834593409907582,-0.015515813556460848,0.0
2000,country_mean,8286,0.010050570036192127,0.013370572347128433,0.008113089287439874,0.0052830820282175625,0.8279024861211682
2000,country_mean_leave_city_out,8286,0.010163458258290613,0.013544954133430327,0.008177170851583189,0.005257627871452221,0.8263335747043206
2000,global_mean,8286,0.011732202938156602,0.015071962103057166,0.009805799850934235,0.004055400047907637,0.8158339367608014
2000,persistence,8286,0.011322289030065094,0.019399414682012634,0.006915505527930674,0.0052972016006615245,0.8554187786628047
2000,zero_growth,8286,0.014681592281196835,0.018957291465001008,0.012007530329388772,-0.012192666960168227,0.0
2005,country_mean,8984,0.010585005378811496,0.014792642794730951,0.008312474758869225,0.005508132205294245,0.7995325022261799
2005,country_mean_leave_city_out,8984,0.010673191058103524,0.01491478446042586,0.008403890608525796,0.005490372810697677,0.7997551202137133
2005,global_mean,8984,0.011984401014861538,0.016135872776577433,0.009784954077623632,0.004296667402783886,0.7909617097061442
2005,persistence,8984,0.00473742352815224,0.009217893044233016,0.003109788275010494,0.002576587106822141,0.914959928762244
2005,zero_growth,8984,0.01388511650020784,0.019031801196753573,0.010645878261566998,-0.010968337034437066,0.0
2010,country_mean,9673,0.01157699164074639,0.016609812257255403,0.0087855360078295,0.005944858846213656,0.7725628036803474
2010,country_mean_leave_city_out,9673,0.011675486136701446,0.01673320880194087,0.00884306171380541,0.005920929506120651,0.7699782900858059
2010,global_mean,9673,0.012639273556792363,0.01693275051362199,0.01038224604998443,0.004698253041056738,0.7631551741962163
2010,persistence,9673,0.006769967845440943,0.01437924426319349,0.003620161353230957,0.002666501278483427,0.8833867466142872
2010,zero_growth,9673,0.01335050665333729,0.01892621760140099,0.009562766818441659,-0.009672499903169485,0.0
2015,country_mean,10333,0.016022330809082223,0.022916872342167834,0.011962384733640757,0.011176426461352133,0.6039872253943676
2015,country_mean_leave_city_out,10333,0.016100628612855303,0.02301088156513667,0.01199902504142359,0.011166392661154495,0.6034065615019839
2015,global_mean,10333,0.016355637575210386,0.022288431819493998,0.013155759347812488,0.009948723145117447,0.5889867415077906
2015,persistence,10333,0.009624961555600367,0.017033483538508438,0.005793429849503439,0.007347418087399294,0.7718958676086325
2015,zero_growth,10333,0.013549649561977186,0.020260417777991827,0.00898072472253979,-0.003561941575142732,0.0
