origin,model,n,mae,rmse,median_absolute_error,bias,directional_accuracy,cross_source_last_origin,includes_2020_to_2025
1985,persistence,6147,0.010018004042632075,0.019817764605611306,0.004768793894904633,0.0008827990780524866,0.8973482999837319,2015,False
1990,persistence,6744,0.01615648201517364,0.02511813064002974,0.01066298966389301,-2.2644611913490515e-05,0.7839561091340451,2015,False
1995,persistence,7280,0.01239061649349426,0.021723858233498004,0.00732712641857507,0.006610037456205911,0.8458791208791209,2015,False
2000,persistence,8051,0.015983415847825384,0.027408990254879802,0.009250971615474057,0.005305429697612983,0.822009688237486,2015,False
2005,persistence,8822,0.009885131700936002,0.018500471599097335,0.005150794671240178,0.0022518987843393847,0.8717977782815688,2015,False
2010,persistence,9476,0.01156872274217371,0.02155616422573475,0.005931223641011839,0.0028808039525670174,0.8432883073026594,2015,False
2015,persistence,9990,0.013559065674829958,0.023042002529720336,0.007925646587278835,0.008144869977410001,0.7670670670670671,2015,False
