city_id,population_difference,built_up_area_difference_m2,urban_centre_area_difference_km2,reconciliation_semantics
82,-0.14389999999548309,0,0.0,current_epoch_file_integrity_not_temporal_comparability
83,0.2470000000030268,0,0.0,current_epoch_file_integrity_not_temporal_comparability
84,-0.288669999994454,0,0.0,current_epoch_file_integrity_not_temporal_comparability
85,-0.15359999996144325,0,0.0,current_epoch_file_integrity_not_temporal_comparability
86,0.0692399999970803,0,0.0,current_epoch_file_integrity_not_temporal_comparability
87,-0.48869999998714775,0,0.0,current_epoch_file_integrity_not_temporal_comparability
88,0.4429999999993015,0,0.0,current_epoch_file_integrity_not_temporal_comparability
89,-0.07750000001396984,0,0.0,current_epoch_file_integrity_not_temporal_comparability
90,0.1570800000044983,0,0.0,current_epoch_file_integrity_not_temporal_comparability
91,-0.23024000000441447,0,0.0,current_epoch_file_integrity_not_temporal_comparability
92,0.16287000000011176,0,0.0,current_epoch_file_integrity_not_temporal_comparability
93,0.055099999997764826,0,0.0,current_epoch_file_integrity_not_temporal_comparability
94,-0.005300000018905848,0,0.0,current_epoch_file_integrity_not_temporal_comparability
95,-0.05710000000544824,0,0.0,current_epoch_file_integrity_not_temporal_comparability
96,0.10554000000411179,0,0.0,current_epoch_file_integrity_not_temporal_comparability
97,0.4258399999962421,0,0.0,current_epoch_file_integrity_not_temporal_comparability
98,-0.46379000000160886,0,0.0,current_epoch_file_integrity_not_temporal_comparability
99,-0.0268999999971129,0,0.0,current_epoch_file_integrity_not_temporal_comparability
100,-0.02305000000342261,0,0.0,current_epoch_file_integrity_not_temporal_comparability
101,0.2673700000013923,0,0.0,current_epoch_file_integrity_not_temporal_comparability
102,-0.2442000000155531,0,0.0,current_epoch_file_integrity_not_temporal_comparability
103,-0.3019399999975576,0,0.0,current_epoch_file_integrity_not_temporal_comparability
104,-0.45600000000558794,0,0.0,current_epoch_file_integrity_not_temporal_comparability
105,-0.4603999999817461,0,0.0,current_epoch_file_integrity_not_temporal_comparability
106,-0.3126999999949476,0,0.0,current_epoch_file_integrity_not_temporal_comparability
107,-0.03861000000324566,0,0.0,current_epoch_file_integrity_not_temporal_comparability
108,-0.497430000003078,0,0.0,current_epoch_file_integrity_not_temporal_comparability
109,-0.4979999999050051,0,0.0,current_epoch_file_integrity_not_temporal_comparability
110,0.23356999999668915,0,0.0,current_epoch_file_integrity_not_temporal_comparability
111,0.11840000000665896,0,0.0,current_epoch_file_integrity_not_temporal_comparability
112,0.059600000007776543,0,0.0,current_epoch_file_integrity_not_temporal_comparability
113,0.3929999999963911,0,0.0,current_epoch_file_integrity_not_temporal_comparability
114,-0.3876499999969383,0,0.0,current_epoch_file_integrity_not_temporal_comparability
115,-0.09309999999823049,0,0.0,current_epoch_file_integrity_not_temporal_comparability
116,0.06609999999636784,0,0.0,current_epoch_file_integrity_not_temporal_comparability
117,-0.09629999997559935,0,0.0,current_epoch_file_integrity_not_temporal_comparability
118,0.10090000000491273,0,0.0,current_epoch_file_integrity_not_temporal_comparability
119,-0.10852999999769963,0,0.0,current_epoch_file_integrity_not_temporal_comparability
120,0.19567999999708263,0,0.0,current_epoch_file_integrity_not_temporal_comparability
121,-0.012700000021141022,0,0.0,current_epoch_file_integrity_not_temporal_comparability
122,-0.3177900000009686,0,0.0,current_epoch_file_integrity_not_temporal_comparability
123,0.3227000000042608,0,0.0,current_epoch_file_integrity_not_temporal_comparability
124,-0.23489999998128042,0,0.0,current_epoch_file_integrity_not_temporal_comparability
125,0.2519999999931315,0,0.0,current_epoch_file_integrity_not_temporal_comparability
126,0.19008999999641674,0,0.0,current_epoch_file_integrity_not_temporal_comparability
127,0.4812000000383705,0,0.0,current_epoch_file_integrity_not_temporal_comparability
128,-0.32529999999678694,0,0.0,current_epoch_file_integrity_not_temporal_comparability
129,0.02630000002682209,0,0.0,current_epoch_file_integrity_not_temporal_comparability
130,-0.4301500000001397,0,0.0,current_epoch_file_integrity_not_temporal_comparability
131,-0.3635999999969499,0,0.0,current_epoch_file_integrity_not_temporal_comparability
133,0.07069000000046799,0,0.0,current_epoch_file_integrity_not_temporal_comparability
134,0.035499999998137355,0,0.0,current_epoch_file_integrity_not_temporal_comparability
135,-0.01471000000310596,0,0.0,current_epoch_file_integrity_not_temporal_comparability
136,-0.11350000000675209,0,0.0,current_epoch_file_integrity_not_temporal_comparability
137,-0.10910000000149012,0,0.0,current_epoch_file_integrity_not_temporal_comparability
138,-0.3220000000001164,0,0.0,current_epoch_file_integrity_not_temporal_comparability
139,-0.20999000000301749,0,0.0,current_epoch_file_integrity_not_temporal_comparability
140,-0.32760000000416767,0,0.0,current_epoch_file_integrity_not_temporal_comparability
