origin,model,n,mae,rmse,median_absolute_error,bias,directional_accuracy,cross_source_last_origin,includes_2020_to_2025
1985,persistence,5553,0.01015639003572651,0.019988495944024413,0.0049678515487368465,0.001568502916638364,0.902215018908698,2015,False
1990,persistence,6146,0.016345390113165287,0.026037801569379324,0.010664992298300114,-0.0016872988236225858,0.8016596160104132,2015,False
1995,persistence,6698,0.012503507127261166,0.021545393204542074,0.007537556355148035,0.006536948240007602,0.8580173186025679,2015,False
2000,persistence,7511,0.01602480568265449,0.027434858629020377,0.009231606976523567,0.005366076409471481,0.8353082146185594,2015,False
2005,persistence,8290,0.00988019875227788,0.018535776034832547,0.005327537618024004,0.0026155458943409437,0.8803377563329312,2015,False
2010,persistence,8985,0.011312691499610623,0.021388385219320023,0.0057617701370453744,0.0027491996172378337,0.8563160823594881,2015,False
2015,persistence,9674,0.013831174171770523,0.023557196461612685,0.008230164346470129,0.008233107915580407,0.7581145338019434,2015,False
