origin,model,n,mae,rmse,median_absolute_error,bias,directional_accuracy
1985,country_mean,5553,0.00919244125568253,0.013752103251213257,0.00600327242645575,9.737704268319725e-05,0.8654781199351702
1985,country_mean_leave_city_out,5553,0.009528919945909332,0.014542785360426738,0.006148063876940311,-2.8477635119438492e-05,0.8627768773635872
1985,global_mean,5553,0.01151159186921719,0.01579669434127697,0.008971230587083063,-0.0003837473733243291,0.8725013506212858
1985,persistence,5553,0.0037259593673865765,0.007000969912667694,0.0017278380227065057,0.0010569928432459712,0.9322888528723212
1985,zero_growth,5553,0.016192159941738466,0.0212931613678259,0.012749645234278262,-0.014283222009444329,0.0
1990,country_mean,6145,0.012794929172263561,0.018177371047543862,0.009950235601352159,-0.0019822856373330187,0.807160292921074
1990,country_mean_leave_city_out,6145,0.012967894925308913,0.018222262707223987,0.010107152367912299,-0.002076348367817203,0.8060211554109031
1990,global_mean,6145,0.014706047619039878,0.019380997084701094,0.012010533931526051,-0.002757214730733467,0.8162733930024411
1990,persistence,6145,0.010470748126746051,0.015488356390001304,0.007792656347102779,-0.0011418063461370532,0.8143205858421481
1990,zero_growth,6145,0.019277744466722344,0.02553810243960862,0.016077512255617064,-0.01685745714187419,0.0
1995,country_mean,6697,0.012898550561065826,0.018477210070068372,0.008745796735678636,0.0027263379032299883,0.7312229356428251
1995,country_mean_leave_city_out,6697,0.013071154042238232,0.018702457441605883,0.00891307204383518,0.0026812996166390942,0.7294310885471107
1995,global_mean,6697,0.01566580247294797,0.020413564268539984,0.012719339251543648,0.0017882147576394863,0.7291324473644916
1995,persistence,6697,0.006817630426715566,0.011175838309159816,0.004362786746675694,0.005003577975951379,0.8688965208302225
1995,zero_growth,6697,0.01860242709059212,0.024310872865281045,0.015696004274841257,-0.013323011872151343,0.0
2000,country_mean,7509,0.00941205795382405,0.01249542025450015,0.007580628580262187,0.004738948119393267,0.8122253296044746
2000,country_mean_leave_city_out,7509,0.009540341999903904,0.012703004323892955,0.007639948381300991,0.004697119420149804,0.8110267678785458
2000,global_mean,7509,0.011252904124147825,0.014320750060160325,0.009552194731602511,0.003531225608411851,0.7985084565188441
2000,persistence,7509,0.010770820221472712,0.018115976470669863,0.006756352808865883,0.004446371634327758,0.8423225462778
2000,zero_growth,7509,0.013799498640172296,0.017752376529793293,0.011246541870342597,-0.011069441922133086,0.0
2005,country_mean,8290,0.009868911450168175,0.013635120925642938,0.007770490032516916,0.005248247124546488,0.7838359469240048
2005,country_mean_leave_city_out,8290,0.009966379535443999,0.013782491085066326,0.007832246344746276,0.005213080961285527,0.783956574185766
2005,global_mean,8290,0.011309514469889825,0.014989967086360126,0.009383769090408632,0.003921151895012354,0.7744270205066345
2005,persistence,8290,0.004568703810208558,0.00785609671498815,0.0030606767244583106,0.002373057806562449,0.9088057901085645
2005,zero_growth,8290,0.012978258803864258,0.017487676750980626,0.010086874608149544,-0.00982319485098343,0.0
2010,country_mean,8985,0.011018228335569046,0.01583555029948771,0.008241790526985215,0.005458640904541904,0.7578185865331107
2010,country_mean_leave_city_out,8985,0.011115848522935654,0.015958382006567115,0.008368505776234462,0.0054352539315268775,0.7573734001112966
2010,global_mean,8985,0.012064703733847115,0.01619716536935236,0.009795341536936173,0.004159964620300727,0.747245409015025
2010,persistence,8985,0.006464780609545983,0.012835698496662797,0.0035410582351367735,0.002211551992658734,0.8763494713411241
2010,zero_growth,8985,0.01266814598264238,0.01793643377538577,0.008979800320344466,-0.008756300372806187,0.0
2015,country_mean,9674,0.015551093482252988,0.022298440057643334,0.011476166024579328,0.010802250209193663,0.5854868720281166
2015,country_mean_leave_city_out,9674,0.0156337476069202,0.022398774225018507,0.011513667439930021,0.010773401611253905,0.5843498035972711
2015,global_mean,9674,0.01580546853916045,0.02153157459921312,0.012606274811921735,0.009498529137782173,0.5687409551374819
2015,persistence,9674,0.009309693080200515,0.015395318032840586,0.005645158629355862,0.007031957650985201,0.7640066156708704
2015,zero_growth,9674,0.013213239668182523,0.019503119159745872,0.008744491833135193,-0.0026429165743669927,0.0
