period_start,fixed_rows,fixed_population,eligible_rows,eligible_population,eligible_row_share,eligible_population_share,minimum_origin_population,eligibility_uses_future_population,eligibility_uses_2025_birth_metadata
1980,11422,1799215977.6178722,5552,1577335358.94816,0.4860794957100333,0.8766792750676448,50000.0,False,True
1985,11422,1981026568.172504,6143,1769977095.39674,0.5378217475048153,0.8934645924660884,50000.0,False,True
1990,11422,2185602555.324535,6692,1988249072.81335,0.5858868849588513,0.9097029411727237,50000.0,False,True
1995,11422,2432904794.912071,7509,2259110170.35085,0.6574155139205042,0.9285649710072185,50000.0,False,True
2000,11422,2695228238.1491723,8286,2549828946.36982,0.725442129224304,0.9460530690049468,50000.0,False,True
2005,11422,2905377699.351895,8984,2787062828.52583,0.7865522675538434,0.9592772840335156,50000.0,False,True
2010,11422,3116710705.842113,9673,3028783013.2137,0.846874452810366,0.9717883047458985,50000.0,False,True
2015,11422,3332880493.95847,10333,3275441727.15437,0.9046576781649448,0.982766028692532,50000.0,False,True
2020,11422,3523888344.16533,10914,3496838158.33405,0.9555244265452635,0.9923237676142412,50000.0,False,True
