origin,source,persistence_mae,country_loo_mae,persistence_rmse,country_loo_rmse,mae_delta_persistence_minus_country,rmse_delta_persistence_minus_country,persistence_beats_country_mae,persistence_beats_country_rmse,cross_source_last_origin,includes_2020_to_2025
1985,ghsl_dynamic_boundaries,0.01015639003572651,0.013782573428850758,0.019988495944024413,0.021581710011493647,-0.0036261833931242483,-0.001593214067469234,True,True,2015,False
1985,ghsl_fixed_2025_footprint,0.0037259593673865765,0.009528919945909332,0.007000969912667694,0.014542785360426738,-0.005802960578522755,-0.007541815447759044,True,True,2015,False
1985,wup_2025_reference_estimates,0.010018004042632075,0.013731557113184726,0.019817764605611306,0.021934486488950147,-0.00371355307055265,-0.0021167218833388415,True,True,2015,False
1990,ghsl_dynamic_boundaries,0.016345390113165287,0.017289328570788545,0.026037801569379324,0.02566456544624917,-0.0009439384576232571,0.0003732361231301544,True,False,2015,False
1990,ghsl_fixed_2025_footprint,0.010473189043529533,0.01296926809915471,0.015490504361358423,0.018222826241209154,-0.0024960790556251763,-0.0027323218798507316,True,True,2015,False
1990,wup_2025_reference_estimates,0.01615648201517364,0.017345230975557457,0.02511813064002974,0.02568805057615802,-0.0011887489603838175,-0.0005699199361282811,True,True,2015,False
1995,ghsl_dynamic_boundaries,0.012503507127261166,0.01703138894232268,0.021545393204542074,0.02503143031971874,-0.004527881815061514,-0.0034860371151766677,True,True,2015,False
1995,ghsl_fixed_2025_footprint,0.0068189626005444775,0.013072349915363275,0.011176658956941529,0.01870235868223802,-0.006253387314818798,-0.00752569972529649,True,True,2015,False
1995,wup_2025_reference_estimates,0.01239061649349426,0.01738826531778273,0.021723858233498004,0.025727390236124435,-0.004997648824288471,-0.004003532002626431,True,True,2015,False
2000,ghsl_dynamic_boundaries,0.01602480568265449,0.013250019495933478,0.027434858629020377,0.018758663256002624,0.0027747861867210132,0.008676195373017753,False,False,2015,False
2000,ghsl_fixed_2025_footprint,0.010771609585089657,0.009539595780729406,0.018115224137524585,0.012701955609569684,0.0012320138043602508,0.005413268527954901,False,False,2015,False
2000,wup_2025_reference_estimates,0.015983415847825384,0.013337030049899811,0.027408990254879802,0.019233501399732823,0.002646385797925572,0.008175488855146979,False,False,2015,False
2005,ghsl_dynamic_boundaries,0.00988019875227788,0.01353413262546453,0.018535776034832547,0.01915359367416975,-0.0036539338731866496,-0.0006178176393372044,True,True,2015,False
2005,ghsl_fixed_2025_footprint,0.004568703810208558,0.009966966637234419,0.00785609671498815,0.013782939360330062,-0.005398262827025861,-0.005926842645341912,True,True,2015,False
2005,wup_2025_reference_estimates,0.009885131700936002,0.013277120939605924,0.018500471599097335,0.01947385789033055,-0.003391989238669922,-0.0009733862912332143,True,True,2015,False
2010,ghsl_dynamic_boundaries,0.011312691499610623,0.014480194874433276,0.021388385219320023,0.020811716319889914,-0.0031675033748226524,0.0005766688994301092,True,False,2015,False
2010,ghsl_fixed_2025_footprint,0.006464780609545983,0.011116218326757158,0.012835698496662797,0.015958713983549706,-0.0046514377172111755,-0.003123015486886909,True,True,2015,False
2010,wup_2025_reference_estimates,0.01156872274217371,0.014586467610826069,0.02155616422573475,0.021152951982831653,-0.0030177448686523594,0.00040321224290309696,True,False,2015,False
2015,ghsl_dynamic_boundaries,0.013831174171770523,0.019341803264553387,0.023557196461612685,0.027083953646907577,-0.005510629092782864,-0.0035267571852948924,True,True,2015,False
2015,ghsl_fixed_2025_footprint,0.009309693080200515,0.01563406720520124,0.015395318032840586,0.02239896598900425,-0.006324374125000724,-0.007003647956163664,True,True,2015,False
2015,wup_2025_reference_estimates,0.013559065674829958,0.018608683978091428,0.023042002529720336,0.026341468945399026,-0.00504961830326147,-0.0032994664156786903,True,True,2015,False
