origin,n,population_growth_correlation,recent_built_future_population_correlation,residual_population_growth_correlation,raw_persistence_beta,built_adjusted_persistence_beta,raw_persistence_mae,built_adjusted_persistence_mae,raw_persistence_rmse,built_adjusted_persistence_rmse,diagnostic_semantics
1985,6143,0.9085575508963123,0.09788833815521333,0.9104773001534,0.8704228911167079,0.8789655890246852,0.00391938500999049,0.003939390118864188,0.007532750974264157,0.007274440870842284,source_process_not_causal_control
1990,6692,0.6652359312336301,0.28897211692133923,0.6363903560715717,0.7462391683423285,0.6802930317276301,0.010637969729002956,0.011211529757334344,0.015857143073522244,0.015891799119926883,source_process_not_causal_control
1995,7509,0.8796318416311241,0.22072250882687663,0.8828837184427614,0.8431508734960612,0.8851167938062281,0.007217255969240109,0.005705156321571684,0.012406046022097592,0.010393818590108541,source_process_not_causal_control
2000,8286,0.6065273160722455,0.15052444966058154,0.5970393290970005,0.37513636100585396,0.37526801126089915,0.011322289030065094,0.010716341163314885,0.019399414682012634,0.018120221022069574,source_process_not_causal_control
2005,8984,0.8500703517692065,0.17442833400059257,0.8643551972826977,0.7977831186623376,0.8488577236287194,0.00473742352815224,0.004366037193509612,0.009217893044233016,0.00803148791382835,source_process_not_causal_control
2010,9673,0.6596903397766605,0.18263370306473406,0.6422391220611533,0.6023846291954449,0.5940724364708416,0.006769967845440943,0.006140046756574341,0.01437924426319349,0.014103664994517862,source_process_not_causal_control
2015,10333,0.6891273908742246,0.05783665736149658,0.7255594249519924,0.724669058478012,0.829505961594853,0.009624961555600367,0.00813219069759437,0.017033483538508438,0.014015029486609843,source_process_not_causal_control
