origin,weighting,model,n,country_count,candidate_train_n,matched_train_n,beta,mae,rmse,mae_delta_vs_contemporaneous_country,rmse_delta_vs_contemporaneous_country,mae_winner,rmse_winner,test_rows_identical_across_models,training_precedes_origin,contemporaneous_country_leave_city_out,contemporaneous_country_uses_future_outcome
1985,country_balanced,contemporaneous_country_only,6147,174,5638,5638,,0.020383470209368752,0.031224537795034372,0.0,0.0,False,False,True,True,True,False
1985,country_balanced,contemporaneous_country_plus_city_deviation,6147,174,5638,5638,0.5190416471167018,0.01366049097689749,0.02125985551089323,-0.0067229792324712614,-0.00996468228414114,True,True,True,True,True,False
1985,country_balanced,historical_country_loo_only,6147,174,5638,5638,,0.020579749767016545,0.030888925786095506,0.00019627955764779312,-0.00033561200893886603,False,False,True,True,True,False
1985,country_balanced,historical_country_loo_plus_recent_growth,6147,174,5638,5638,0.425415270231302,0.017176245517430588,0.02930862318207843,-0.0032072246919381646,-0.0019159146129559407,False,False,True,True,True,False
1985,row_weighted,contemporaneous_country_only,6147,174,5638,5638,,0.01405993866825416,0.02200900208242492,0.0,0.0,False,False,True,True,True,False
1985,row_weighted,contemporaneous_country_plus_city_deviation,6147,174,5638,5638,0.4789654516897588,0.010292323966661666,0.01761414733168178,-0.003767614701592493,-0.004394854750743141,True,True,True,True,True,False
1985,row_weighted,historical_country_loo_only,6147,174,5638,5638,,0.013731557113184726,0.021934486488950147,-0.000328381555069434,-7.451559347477349e-05,False,False,True,True,True,False
1985,row_weighted,historical_country_loo_plus_recent_growth,6147,174,5638,5638,0.4541108843779643,0.010339433036401578,0.018200303290231867,-0.0037205056318525814,-0.0038086987921930535,False,False,True,True,True,False
1990,country_balanced,contemporaneous_country_only,6744,177,11785,11785,,0.020178845860542454,0.030261144941672702,0.0,0.0,False,False,True,True,True,False
1990,country_balanced,contemporaneous_country_plus_city_deviation,6744,177,11785,11785,0.5265165637921497,0.017093173181886114,0.02951134224282601,-0.0030856726786563406,-0.0007498026988466931,True,False,True,True,True,False
1990,country_balanced,historical_country_loo_only,6744,177,11785,11785,,0.020422018056470082,0.030901375709025788,0.00024317219592762812,0.0006402307673530859,False,False,True,True,True,False
1990,country_balanced,historical_country_loo_plus_recent_growth,6744,177,11785,11785,0.38294736395633155,0.019114082593031143,0.029315233254794824,-0.0010647632675113115,-0.0009459116868778782,False,True,True,True,True,False
1990,row_weighted,contemporaneous_country_only,6744,177,11785,11785,,0.017586112532163044,0.025517740348533005,0.0,0.0,False,False,True,True,True,False
1990,row_weighted,contemporaneous_country_plus_city_deviation,6744,177,11785,11785,0.5311636347314372,0.015303704380967762,0.022509121290050307,-0.0022824081511952816,-0.0030086190584826984,False,True,True,True,True,False
1990,row_weighted,historical_country_loo_only,6744,177,11785,11785,,0.017345230975557457,0.02568805057615802,-0.00024088155660558636,0.00017031022762501596,False,False,True,True,True,False
1990,row_weighted,historical_country_loo_plus_recent_growth,6744,177,11785,11785,0.499284590998017,0.015282318306702446,0.02267671664027571,-0.0023037942254605977,-0.0028410237082572946,True,False,True,True,True,False
1995,country_balanced,contemporaneous_country_only,7280,179,18529,18529,,0.019243097431608937,0.03301670523015756,0.0,0.0,False,False,True,True,True,False
1995,country_balanced,contemporaneous_country_plus_city_deviation,7280,179,18529,18529,0.4993693277903722,0.0162974362612008,0.03048609057579222,-0.0029456611704081377,-0.00253061465436534,True,False,True,True,True,False
1995,country_balanced,historical_country_loo_only,7280,179,18529,18529,,0.018147581645671134,0.029000238684462533,-0.0010955157859378027,-0.004016466545695027,False,True,True,True,True,False
1995,country_balanced,historical_country_loo_plus_recent_growth,7280,179,18529,18529,0.3765101625641962,0.018028799353745927,0.03264756691394031,-0.0012142980778630103,-0.0003691383162172518,False,False,True,True,True,False
1995,row_weighted,contemporaneous_country_only,7280,179,18529,18529,,0.018152235768474117,0.026196257731923446,0.0,0.0,False,False,True,True,True,False
1995,row_weighted,contemporaneous_country_plus_city_deviation,7280,179,18529,18529,0.5268340227738664,0.013546348323940312,0.020029747821914082,-0.004605887444533805,-0.006166509910009364,False,False,True,True,True,False
1995,row_weighted,historical_country_loo_only,7280,179,18529,18529,,0.01738826531778273,0.025727390236124435,-0.0007639704506913862,-0.00046886749579901077,False,False,True,True,True,False
1995,row_weighted,historical_country_loo_plus_recent_growth,7280,179,18529,18529,0.502245476945785,0.012885494950907827,0.019810657108897147,-0.00526674081756629,-0.006385600623026299,True,True,True,True,True,False
2000,country_balanced,contemporaneous_country_only,8051,181,25809,25809,,0.01581785734400755,0.023451655032377137,0.0,0.0,False,False,True,True,True,False
